evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20020701,22035966,34.1033,243.349,10.02,3.3
20020703,18554048,34.0998,243.3508,9.13,2.9
20020710,04221766,32.9433,244.4648,6.0,3.0
20020712,21343616,34.3225,243.1637,4.17,2.4
20020712,22005708,34.32,243.1635,3.99,2.5
20020716,04411392,33.3698,243.6125,4.31,2.7
20020717,11004920,33.8138,243.1175,16.58,2.2
20020722,04332788,34.3232,243.1617,4.16,2.9
20020723,09382101,33.3085,243.719,8.65,2.4
20020724,17030624,33.013,243.9105,0.01,2.3
20020725,00431514,34.1613,242.5712,6.54,3.7
20020726,05134109,33.1798,243.9493,4.63,2.4
20020728,05471433,34.1633,242.5647,8.08,2.5
20020729,17371252,32.9145,243.7562,8.7,2.9
20020802,02355760,33.4375,243.1233,13.92,2.5
20020803,11410725,33.1585,244.3827,4.78,2.4
20020803,18112908,32.9387,244.471,18.13,2.5
20020804,18261320,34.2888,243.1198,7.26,2.6
20020804,18270496,34.2895,243.1208,7.73,2.5
20020806,21070400,33.129,244.3972,13.05,2.5
20020808,10252681,34.1678,242.3648,13.79,2.7
20020808,14024100,34.0015,242.4183,3.03,2.3
20020813,10094965,34.1668,242.5643,7.34,3.0
20020813,10150452,34.1662,242.5662,3.14,2.7
20020815,01241039,34.1625,242.5573,9.77,2.5
20020815,14572246,34.0882,242.6813,17.31,2.8
20020817,02105537,33.8172,243.0017,12.2,2.3
20020818,05290188,34.3135,243.5108,5.53,4.0
20020819,08262284,32.6582,244.1167,1.79,2.4
20020820,23104804,34.3142,243.5522,2.44,2.2
20020821,23330606,34.0328,242.761,15.26,2.2
20020823,09191431,34.311,243.1368,4.46,2.2
20020824,09021800,33.1778,244.348,2.35,2.2
20020831,14555214,33.0462,244.3807,14.74,2.9
20020831,15153154,33.052,244.3915,13.52,2.6
20020831,16243333,33.0453,244.39,14.24,3.8
20020831,16514720,33.0412,244.3918,11.79,2.6
20020831,16520541,33.0495,244.3978,5.65,2.8
20020831,16563725,33.0447,244.3915,15.65,2.8
20020831,17055880,33.0502,244.3952,14.16,2.6
20020831,17130430,33.055,244.3908,15.6,2.8
20020831,17232148,33.0515,244.3817,15.23,2.6
20020902,13590041,34.3825,243.5295,4.04,2.5
20020903,04504833,33.9237,242.227,13.62,2.7
20020903,07085187,33.9173,242.2242,12.92,4.8
20020903,07155148,33.9232,242.2277,11.72,2.9
20020903,07170985,33.9168,242.2303,11.85,2.5
20020903,07223970,33.9168,242.2257,11.82,2.3
20020903,11283962,33.9182,242.2277,10.27,2.8
20020903,20032424,33.9175,242.2205,7.23,2.7
20020904,14441768,33.6197,243.3032,14.03,2.8
20020905,22255172,34.3473,243.5425,8.31,2.7
20020906,01270660,33.9208,242.2312,11.71,3.0
20020906,04295616,33.9138,242.231,11.11,2.3
20020906,08370102,34.398,243.5538,2.97,2.4
20020906,22294156,33.9323,242.2352,13.38,2.7
20020907,13243991,34.1633,242.5612,5.47,2.8
20020907,15590610,34.4093,243.525,3.39,2.8
20020915,21155092,34.0543,243.6798,10.5,3.3
20020916,11431180,34.0555,243.683,10.55,2.2
20020917,15000517,33.5032,243.2213,15.99,3.7
20020917,17070140,33.5082,243.22,15.97,2.8
20020919,15595535,33.1635,244.364,4.06,2.8
20020920,15121305,34.3325,243.362,0.85,2.2
20020921,21261664,33.2248,243.8872,14.57,4.3
20020922,00583685,33.237,243.8883,13.37,2.5
20020923,07273311,34.0022,243.2328,22.6,2.2
20020923,23332942,33.256,243.87,7.83,2.5
20020924,01222775,32.5288,244.1287,7.0,2.3
20020925,00413568,33.7488,243.9752,9.29,2.5
20020926,14495592,33.9767,242.7858,16.91,2.2
20020928,23501564,34.3947,243.5522,3.46,2.4
20020929,02391398,34.2043,243.1348,6.02,2.6
20021001,15365256,33.9443,243.633,7.16,2.4
20021002,05532865,33.7488,243.9728,8.82,2.6
20021004,12303283,33.743,243.1978,7.14,2.4
20021007,17454528,33.7482,243.9792,10.05,2.4
20021010,00042934,34.2998,243.117,7.45,2.7
20021010,10122444,33.58,242.7808,12.95,2.4
20021010,16585998,34.3177,243.3542,4.01,2.5
20021012,15292336,33.7465,243.9757,8.81,3.0
20021014,15163384,32.88,243.7395,7.61,2.6
20021015,12373141,34.3167,243.5505,7.71,2.3
20021017,03263452,33.4822,243.5002,14.91,3.1
20021019,20300820,33.9765,242.8535,15.54,2.3
20021022,07152607,34.3015,243.1162,7.1,3.6
20021023,16532176,34.296,243.1162,7.72,2.3
20021024,17183292,33.5057,243.419,14.53,3.8
20021024,17224610,33.5133,243.4312,15.0,2.3
20021024,17251678,33.5167,243.4293,14.71,2.4
20021024,17253150,33.5098,243.4162,14.77,2.5
20021025,08395637,33.5058,243.4193,14.16,2.2
20021025,18374448,34.3188,242.855,5.2,2.9
20021029,10580143,33.3447,243.6412,13.68,2.8
20021029,14425102,33.4267,242.9732,13.66,2.7
20021029,17495244,33.9767,243.4278,11.85,2.3
20021031,00083115,34.3022,243.112,8.08,2.2
20021031,01421357,33.2248,243.8992,13.39,2.4
20021031,23593720,33.5333,243.0597,6.06,3.1
20021103,06584233,33.1658,244.3583,2.43,3.2
20021103,07022009,33.1625,244.3707,2.83,3.0
20021103,07031369,33.1762,244.3702,1.65,2.5
20021105,19013468,34.0508,243.0145,15.09,2.2
20021106,22492644,32.9053,243.761,9.7,2.8
20021107,01223863,34.057,243.0082,14.84,2.3
20021107,03135593,33.998,242.816,17.09,2.6
20021109,09353528,32.6638,244.1183,5.83,2.4
20021110,19474986,33.9958,242.8177,14.49,2.6
20021116,13335788,32.6363,243.8827,1.94,2.9
20021117,05431990,33.0248,244.3038,16.25,2.2
20021121,05173023,33.1822,244.4008,2.39,2.5
20021122,00595790,34.305,243.1157,6.46,2.4
20021122,03235783,33.4748,243.453,13.82,2.2
20021122,03242254,33.4732,243.465,13.63,2.3
20021122,12161462,33.8787,242.1378,8.79,2.7
20021127,18480096,34.3833,243.5353,3.07,3.4
20021128,12314653,34.076,242.1638,11.61,2.5
20021129,08345593,33.466,243.5477,9.35,2.3
20021130,08470418,33.9473,243.3707,16.36,2.4
20021201,17491778,33.7848,243.8848,2.68,3.1
20021202,10033643,33.4255,243.3843,13.51,2.3
20021202,13193608,33.3247,244.3007,4.05,3.3
20021203,02592148,33.9925,243.1357,14.3,3.0
20021204,03145823,33.0048,243.6387,12.32,2.6
20021207,17472142,34.0767,242.1728,12.33,2.2
20021208,00443851,33.1637,243.9702,5.33,2.3
20021208,15474786,34.2237,242.9668,6.95,2.3
20021212,11383154,33.7013,243.2602,18.74,2.4
20021213,01232712,32.9698,244.4727,15.87,2.5
20021213,07382142,33.8883,243.7963,11.64,2.5
20021214,01463397,33.4512,243.447,9.69,2.8
20021220,20564200,33.1467,244.3772,9.16,2.4
20021221,20050604,32.5837,244.2065,6.52,2.5
20021222,12553287,33.8852,243.7425,10.63,3.5
20021222,16095609,33.8795,243.748,9.88,2.7
20021222,22375378,33.9913,243.173,11.0,2.3
20021227,11332228,32.8723,244.0383,3.26,2.7
20030102,03455984,34.0168,243.5653,7.81,2.6
20030104,02424912,34.1522,242.5508,9.31,2.5
20030104,21310380,34.2563,242.322,10.68,2.6
20030107,18253754,34.1232,243.0905,4.23,2.8
20030109,00341525,33.1718,244.3505,3.2,2.9
20030113,01411584,32.8765,244.0422,7.67,2.3
20030116,13231620,34.1535,242.5448,9.82,2.3
20030116,18211168,34.2533,242.4405,7.14,2.5
20030119,02111011,33.8242,242.349,5.17,2.4
20030119,22014888,34.3228,243.152,5.27,2.2
20030120,14570272,32.766,244.4507,21.74,3.4
20030122,02294115,34.004,243.2375,22.21,2.6
20030126,02500403,33.2562,243.8888,13.16,2.6
20030128,19565290,34.0337,242.7452,17.82,2.2
20030201,17265244,33.7452,243.9792,11.04,3.2
20030203,03424126,33.18,244.4,4.42,2.6
20030203,08421678,34.0515,242.749,15.18,3.0
20030205,09115589,33.5132,243.434,15.02,2.7
20030206,10395433,32.6935,244.0137,8.1,2.8
20030206,16021926,33.8067,242.3747,6.22,2.6
20030206,17531304,33.9428,243.6527,9.85,2.3
20030214,04072641,34.0062,243.4182,11.99,2.5
20030217,05134560,33.7032,243.1638,16.38,2.3
20030218,20544748,33.1623,244.3545,2.35,2.2
20030219,03094905,32.5043,244.248,3.26,2.9
20030219,09402766,33.379,243.5628,13.6,2.8
20030221,11394917,34.0168,243.2417,17.38,2.6
20030222,12191058,34.3098,243.152,1.23,5.0
20030222,12201564,34.311,243.1527,4.38,4.0
20030222,12213313,34.3108,243.1493,4.38,4.3
20030222,12223975,34.3102,243.1525,5.52,3.7
20030222,12231061,34.3403,243.1475,0.04,3.1
20030222,12242413,34.3163,243.147,4.73,2.4
20030222,12244781,34.322,243.1543,4.76,2.4
20030222,12250032,34.312,243.1498,4.84,3.2
20030222,12251364,34.326,243.1428,9.31,4.0
20030222,12282854,34.3047,243.1635,4.99,2.2
20030222,12283650,34.3098,243.1517,5.45,3.4
20030222,12312266,34.3158,243.1487,3.68,2.8
20030222,12320232,34.3177,243.1453,4.73,2.5
20030222,12320718,34.3102,243.1527,8.69,2.7
20030222,12333787,34.313,243.1495,5.77,3.2
20030222,12443732,34.3102,243.1492,5.06,2.8
20030222,12450411,34.3083,243.1578,4.87,2.6
20030222,12472136,34.3175,243.1507,5.49,2.8
20030222,12484393,34.3165,243.144,2.16,3.1
20030222,12510185,34.3077,243.1542,4.95,2.8
20030222,12524549,34.3098,243.1547,4.78,2.6
