evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20070110,14165981,32.6977,243.9592,4.99,2.8
20070110,23273856,32.6832,243.9535,8.63,2.5
20070111,04220234,34.0397,242.459,9.45,3.0
20070113,23573520,32.987,244.4187,14.57,2.8
20070114,01022380,32.9962,244.4087,12.17,2.2
20070115,07000315,33.706,243.9537,13.72,3.1
20070115,21220412,33.7043,243.957,15.26,2.5
20070117,16074780,32.9817,243.6837,4.13,3.8
20070117,16101770,32.9885,243.6908,5.03,2.2
20070117,17444104,32.9852,243.6838,4.65,2.9
20070117,22364400,32.9852,243.685,5.85,2.9
20070117,23205316,32.9843,243.6883,5.24,2.4
20070118,17081592,34.0023,243.1853,14.69,2.4
20070118,20042030,32.9837,243.693,4.91,3.1
20070119,19170864,32.9853,243.6868,4.19,3.2
20070119,19251996,32.9828,243.6785,5.1,3.0
20070121,01343990,33.9703,243.2852,17.44,2.3
20070123,00191187,33.1643,244.3352,2.5,2.7
20070126,07094583,32.7078,243.929,6.1,2.6
20070130,13561933,34.2265,242.5422,9.38,2.2
20070130,23562448,34.2078,242.4848,5.92,3.3
20070202,23150272,33.7028,243.9537,12.76,2.3
20070205,19382348,32.6953,243.9388,8.27,2.9
20070208,01162593,33.181,244.3828,2.93,2.6
20070208,01185075,33.1797,244.3847,2.77,2.2
20070208,03120457,32.7018,243.9382,8.56,3.4
20070208,16261225,34.3105,243.566,5.22,2.6
20070209,03334407,33.2113,243.852,12.0,4.3
20070210,09200598,33.8908,242.192,10.66,2.5
20070215,11324005,33.7065,243.224,17.07,2.7
20070218,13251652,33.1698,244.3458,4.57,2.6
20070219,14112655,32.7128,243.981,2.0,2.2
20070222,00415932,34.325,243.1532,3.68,3.0
20070225,01133738,33.4753,243.5283,13.86,2.6
20070225,11594150,32.6507,243.988,0.91,3.2
20070225,17004412,32.6783,243.8993,10.72,2.2
20070226,18182056,32.6523,243.992,1.7,2.6
20070228,21524512,33.4658,243.495,12.79,2.4
20070301,14374488,33.2213,243.9825,2.51,3.4
20070302,04270688,33.4883,243.5535,6.0,2.8
20070302,12104809,33.2237,243.9813,5.52,3.0
20070305,07442574,34.036,242.4715,2.39,2.3
20070307,17574516,34.0467,243.0013,14.87,2.8
20070309,20160476,32.9627,244.434,13.44,2.4
20070311,20442952,32.9863,243.6873,4.93,2.4
20070317,03022744,34.1822,242.2603,7.29,2.7
20070317,17524788,34.1758,243.18,4.41,2.2
20070320,15255431,33.2197,243.9862,3.36,2.3
20070321,13514647,33.4208,243.6092,14.84,2.5
20070329,09304918,32.5888,244.2655,4.07,2.3
20070329,16433378,34.3048,243.155,6.85,2.5
20070330,15193859,33.9915,243.1812,19.24,2.5
20070402,05425784,33.736,242.5138,7.82,2.3
20070403,19193448,32.5928,244.2672,4.92,2.3
20070405,12251337,34.1068,242.6778,18.23,2.3
20070406,08542874,33.1645,243.8843,12.49,2.3
20070408,03215833,33.1667,243.9513,9.76,2.6
20070412,14205172,33.666,243.2523,15.55,2.2
20070414,12461000,33.694,243.2517,17.81,2.6
20070415,22572672,32.6923,243.9435,8.01,4.4
20070415,22584112,32.7102,243.9785,1.05,2.3
20070416,01355735,33.955,242.2508,14.52,2.2
20070416,03452459,32.6938,243.9453,12.4,2.6
20070417,05250447,32.6978,243.948,2.81,2.3
20070417,22312324,34.1618,242.5772,11.44,2.9
20070418,02405730,32.6913,243.9507,8.04,2.3
20070418,02470104,34.1322,242.5252,5.74,3.1
20070418,09333773,32.677,243.9407,9.64,2.7
20070418,10154623,32.6955,243.9495,8.49,2.5
20070418,22231200,33.448,243.4058,11.34,3.6
20070419,11333198,32.6835,243.9357,10.81,2.9
20070419,12012361,32.6912,243.939,10.62,2.9
20070419,12303334,32.7012,243.9405,9.2,2.6
20070419,23580036,34.05,242.8747,13.84,2.5
20070420,11280669,34.0315,242.8263,13.49,2.9
20070421,10041934,32.6815,243.9445,10.51,3.2
20070422,00505647,32.6878,243.9432,8.95,2.3
20070423,07283077,33.167,243.9495,4.0,2.9
20070423,22411140,34.0295,243.2365,4.64,2.8
20070425,06223595,32.7218,244.0883,11.77,2.3
20070426,22325840,32.6937,243.9457,9.4,2.3
20070428,08045695,34.1148,242.6827,14.16,3.3
20070428,08285024,34.1138,242.6843,14.26,2.3
20070428,14551750,33.0743,243.501,11.75,3.6
20070428,18073536,33.8697,242.1925,12.89,2.5
20070429,07201239,32.6815,243.9405,12.82,3.2
20070429,07234250,32.7013,243.936,9.38,2.4
20070429,11474614,32.6878,243.9412,9.69,2.6
20070429,14071926,32.684,243.9422,11.46,2.9
20070430,05235258,33.365,243.6138,9.43,3.2
20070430,05253795,33.3677,243.6145,8.47,2.7
20070430,15063749,33.3683,243.6132,9.22,2.9
20070503,09553380,33.054,243.6107,14.25,2.6
20070507,02384231,32.6917,243.9395,10.71,2.3
20070507,02551031,32.6947,243.9405,9.9,2.3
20070507,22060720,34.025,243.2695,11.85,2.5
20070509,15235917,34.1443,243.089,13.13,2.5
20070510,11312313,32.563,244.1178,3.9,2.5
20070510,17594064,33.2212,243.9233,3.72,2.2
20070516,07155754,34.1763,243.5575,5.53,2.4
20070517,16053083,33.1823,244.3927,3.36,3.2
20070517,16055040,33.1858,244.3917,1.73,3.2
20070518,18045676,34.2195,242.4132,5.81,2.3
20070520,09404380,32.9703,244.0787,4.16,3.7
20070522,18133082,33.5038,243.527,11.58,2.7
20070522,22305962,33.1805,243.608,11.57,2.5
20070523,12464454,32.7087,243.9232,6.5,2.2
20070524,06113977,34.1972,242.6138,12.94,3.9
20070524,06151558,34.1968,242.6148,13.11,3.9
20070524,11471244,32.6953,244.045,4.97,2.4
20070525,11352949,32.6882,243.9353,8.72,3.4
20070525,11480046,32.6852,243.9385,9.49,3.0
20070530,06423949,33.1627,244.3445,2.76,2.5
20070530,19264956,33.1982,243.964,10.13,2.2
20070601,00452404,34.4163,243.2762,11.05,2.5
20070601,02083783,32.6753,243.8895,11.77,4.1
20070602,02481323,33.9867,242.5677,17.66,2.3
20070602,05112647,33.8718,243.7882,4.83,4.3
20070613,14503402,33.6965,243.9583,12.4,3.4
20070616,07382948,32.7618,244.4517,18.12,2.8
20070616,16413373,32.8438,244.2603,9.03,2.2
20070617,19244720,33.1672,243.9565,5.02,2.5
20070619,19420748,33.1718,244.3623,3.79,2.3
20070620,00380846,33.1692,244.3642,3.78,2.3
20070622,19450948,34.2645,242.3078,0.0,2.3
20070624,14314458,33.9635,242.9315,15.29,2.2
20070625,07154700,33.473,243.4872,13.36,2.5
20070627,20340204,34.0107,243.2202,18.44,2.3
20070628,06355236,33.6933,243.2648,18.64,2.8
20070628,16251776,32.775,244.401,17.65,2.3
20070628,19545956,32.6868,243.9508,8.22,2.4
20070630,12260027,33.9485,243.2537,18.26,2.2
20070705,23522802,33.694,243.201,14.89,2.2
20070707,16083310,34.197,242.5962,13.54,2.2
20070709,00504743,32.6835,243.952,7.84,2.3
20070712,21020136,34.015,242.3957,15.68,2.4
20070715,09485642,33.8733,242.2275,2.85,2.4
20070715,17075750,33.8763,242.2333,3.18,2.7
20070716,23154620,33.8763,242.23,3.6,2.2
20070718,14254594,33.4107,243.1243,5.83,2.2
20070719,23261990,33.6993,243.2363,17.36,2.3
20070720,04311134,33.3265,243.6855,13.65,2.3
20070720,09484208,34.0462,243.5635,11.28,2.7
20070723,17292652,32.702,243.928,8.64,2.7
20070724,17341332,34.3092,243.1438,0.62,3.0
20070728,15451409,33.2992,243.7558,13.48,2.5
20070728,15453954,33.3027,243.7555,12.4,2.3
20070728,16415368,33.961,243.6597,8.7,2.3
20070729,02190982,34.0322,243.1012,19.8,2.5
20070731,14415406,32.6673,243.957,4.7,2.3
20070810,00163537,33.0177,243.5183,8.37,2.9
20070810,22024424,33.84,243.3963,14.47,2.2
20070814,02342794,33.1657,244.3382,2.72,2.6
20070814,16012217,34.3108,243.1523,5.82,2.7
20070814,17420196,32.9218,243.7292,11.57,2.3
20070814,19354732,32.687,243.966,6.47,2.3
20070815,17065224,32.8995,244.1957,9.99,2.4
20070817,06275883,33.461,243.1145,12.16,2.5
20070821,15033116,34.0533,242.7415,18.44,2.4
20070821,15430967,33.415,243.1277,5.78,2.2
20070821,21554034,33.2973,243.2267,14.22,2.6
20070821,21581956,33.2972,243.2267,14.46,2.3
20070822,16240261,32.6708,243.9555,9.33,2.6
20070823,23485796,33.0795,243.944,12.44,2.9
20070825,21095988,33.9898,242.8152,16.71,2.8
20070828,06075270,34.0218,242.7965,13.24,2.5
20070829,04134860,33.1052,243.948,11.93,3.7
20070830,05095693,34.1303,242.5347,4.82,2.4
20070831,21042496,32.7927,244.2962,15.44,3.0
20070901,22342916,32.9903,243.6875,4.98,2.5
20070902,17291480,33.7322,242.523,12.6,4.7
20070902,17311568,33.7467,242.529,6.0,2.5
20070903,15302407,33.9148,242.2103,9.71,3.2
20070904,09470029,33.36,243.718,5.58,2.3
20070904,12483084,33.652,243.2455,14.15,2.5
20070905,15164781,33.7345,242.5232,4.5,3.5
20070905,21311824,33.7397,242.5197,7.91,2.6
20070906,07142397,32.9912,243.6878,5.15,2.9
20070906,13255723,32.9285,244.4512,15.42,2.5
20070906,16053049,33.7407,242.5288,8.48,2.9
20070906,16523430,33.7322,242.5153,8.97,2.6
20070906,18225084,33.7345,242.518,9.44,2.7
20070906,22152484,33.3977,243.6372,2.63,2.5
20070910,03223423,34.1708,242.5722,7.67,2.6
20070912,11302564,33.7307,242.5167,11.01,3.8
20070912,14214050,33.7333,242.516,11.48,3.3
20070916,23193988,33.7353,242.5242,9.87,2.6
20070917,10564300,33.7348,242.525,10.96,2.7
20070918,20021504,33.3123,243.1648,9.13,2.4
20070920,04222531,34.3275,243.1565,7.21,2.4
20070920,05030721,33.418,243.6148,14.32,2.2
20070922,07583862,34.0202,242.7718,16.12,3.0
20070923,08134175,32.6975,243.9485,9.31,3.6
20070924,10055841,33.9825,243.3338,10.67,2.7
20070925,22382396,33.7372,242.5295,9.76,3.9
20070926,13520752,33.7302,242.5218,9.21,2.4
20071004,21001164,33.735,242.5168,7.54,2.5
20071015,21300222,33.7097,243.1657,17.12,2.8
20071015,21340808,33.7103,243.161,17.16,3.1
20071016,08534412,34.3853,242.3653,8.06,4.2
20071016,09072012,34.3785,242.3533,8.31,2.5
20071016,19093916,34.374,242.3488,9.95,2.8
20071019,18011252,34.0898,242.6967,15.61,2.9
20071021,20044324,33.8022,243.7913,11.81,2.3
20071023,23484696,33.8687,243.1572,15.39,2.5
20071026,02470397,33.1652,244.3615,4.16,2.3
20071029,02505517,34.1387,242.5295,3.69,2.8
20071030,12255350,34.1367,242.527,4.04,2.6
20071031,01205241,33.4668,243.3937,11.62,2.4
20071102,15291879,33.361,243.5563,12.59,2.7
20071105,14284537,34.0368,242.4068,4.11,2.4
20071114,16070685,33.6647,243.2403,14.18,2.2
20071115,17110322,33.2202,243.9193,10.68,2.4
20071116,04075474,33.7123,243.155,16.53,2.2
20071116,19130524,33.1675,244.024,10.31,2.3
20071117,04063394,33.8548,242.3165,4.09,2.5
20071117,13595085,33.3458,243.6978,13.39,2.9
20071117,21153982,33.512,243.5318,5.05,3.3
20071118,23095574,33.508,243.5357,7.24,2.2
20071119,02205997,32.8522,243.8117,8.52,2.5
20071123,18122920,34.1717,242.621,11.53,2.4
20071125,20304422,34.2308,243.2903,3.12,3.1
20071126,04403337,33.1685,243.446,13.43,3.3
20071126,21514856,34.0322,242.7488,17.38,2.4
20071128,15515514,34.4695,243.4918,4.79,3.1
20071130,18093768,34.0475,242.7418,12.57,2.6
20071202,05194992,32.6637,243.8833,9.14,2.5
20071204,17293536,32.6657,243.8822,9.58,2.9
20071205,07025160,32.7515,244.4592,14.79,2.5
20071207,19021136,34.0335,242.7298,18.05,2.4
20071212,06354681,33.0402,243.9615,5.55,2.5
20071212,13191469,34.1755,243.1707,2.64,2.4
20071213,18302032,34.1445,242.42,12.65,2.4
20071217,11592245,34.1538,243.5728,10.13,2.4
20071217,12060339,33.6782,243.9807,12.37,2.3
20071219,12140963,34.1562,243.0187,9.3,4.1
20071220,16054689,34.155,243.5763,9.48,2.4
20071222,01225770,33.9407,242.1855,15.69,2.4
20071222,18321852,34.0908,242.1725,14.29,2.9
20071225,03213402,33.1423,243.1842,17.49,2.3
20071228,17121546,33.217,243.2665,5.77,2.5
20071230,05532564,32.8825,243.7683,10.14,2.3
20080104,11062012,32.9847,244.0768,5.2,2.4
20080105,03405364,33.9682,242.7797,13.8,2.4
20080107,18112070,33.4465,243.4123,11.67,2.5
20080112,09392880,33.6912,243.1832,16.37,2.4
20080113,03001590,32.5787,244.2532,0.19,2.4
20080113,20492520,34.036,242.75,16.48,2.5
20080116,04250950,33.8328,243.2172,15.65,2.3
20080120,22143856,33.6907,243.9683,10.8,2.6
20080121,07143485,32.7907,244.3182,14.36,2.3
20080122,00595220,34.2807,242.9527,7.23,2.3
20080123,18155718,33.1785,244.374,1.28,2.4
20080124,01013765,32.652,244.0475,11.62,3.4
20080125,15164925,32.8163,243.8312,5.47,2.4
20080128,01284824,34.0387,242.757,14.67,3.0
20080129,16190519,34.276,242.5273,13.08,2.4
20080129,16383708,33.4602,243.1097,11.34,2.8
20080130,12220730,33.3548,243.6463,13.78,2.3
20080130,16131712,32.712,244.0378,6.49,2.3
20080130,20421158,34.0332,242.4072,4.78,2.5
20080131,10444491,33.6832,243.9728,12.49,2.8
20080203,00470397,34.0663,243.3247,5.6,2.2
20080208,00100877,33.7973,242.2285,9.3,2.3
20080210,07594845,32.6858,244.0387,6.37,2.3
20080214,06120468,32.849,244.2483,12.8,2.8
20080215,06265032,34.3035,243.555,0.46,2.2
20080216,16350551,33.6828,243.9702,11.49,2.9
20080219,10390900,33.534,244.1215,4.95,2.5
20080222,09325751,32.8027,244.3858,19.16,2.3
20080224,14133390,32.6578,244.0447,13.62,3.5
20080225,13490552,34.0085,243.2195,12.85,2.6
20080225,22590168,33.3407,243.6005,13.32,3.0
20080226,21544940,34.3337,243.5365,4.34,2.3
20080302,22243904,32.662,244.0405,6.0,3.0
20080304,16442540,33.4578,243.404,10.97,2.7
20080305,12193968,33.4565,243.5315,11.67,2.4
20080306,00142693,34.2982,243.1425,13.74,3.7
20080309,09223208,34.139,242.535,3.74,4.0
20080309,09240897,34.1362,242.5345,4.56,3.4
20080309,09241154,34.1458,242.5615,6.03,3.2
20080309,13585367,33.3795,243.038,14.3,2.4
20080310,12180371,34.1363,242.524,3.79,2.3
20080310,12180958,34.1352,242.522,3.67,2.5
20080313,12463368,33.1492,244.36,3.49,2.5
20080314,09402734,33.1905,243.9617,4.76,2.5
20080315,19474276,33.0348,244.3875,12.3,2.3
20080316,04115169,33.1552,244.0252,13.07,2.3
20080317,14164172,33.0318,244.3888,13.44,3.1
20080319,07190153,33.9568,243.3817,11.43,2.5
20080319,08060854,34.1375,242.53,3.93,2.6
20080320,07202939,34.01,242.7483,12.82,3.0
20080320,16483547,33.1575,244.3295,2.08,2.2
20080329,10025643,33.6868,243.9658,11.24,2.4
20080403,20043044,34.2313,243.1183,7.56,2.5
20080412,16200239,34.3315,243.5415,2.96,2.2
20080415,01000793,34.033,243.5575,2.89,3.4
20080415,18302750,34.1225,242.5387,4.79,2.3
20080417,01090106,32.5547,244.266,3.73,2.3
20080418,03252475,33.7885,243.8905,0.46,3.2
20080418,19081654,33.7883,243.902,4.46,2.2
20080420,22385820,33.7832,243.9032,5.16,2.3
20080422,06325211,33.7823,243.9055,8.0,2.7
20080422,11471453,33.782,243.9048,5.67,2.2
20080424,18504196,34.1548,242.4068,10.75,2.7
20080429,01125313,34.4645,242.9337,4.68,2.3
20080501,03553597,33.443,243.546,10.8,4.2
20080501,04382435,33.4425,243.549,10.63,2.4
20080502,14171547,33.544,243.5768,10.84,2.4
20080504,18163028,33.214,243.275,9.06,3.6
20080507,15243293,33.7353,243.9745,5.67,2.4
20080508,00173933,33.7365,243.9758,6.0,2.8
20080508,23441496,34.0198,242.8565,5.87,3.1
20080509,04434736,33.7855,243.9098,4.89,2.3
20080509,07430993,33.7385,243.9723,6.8,2.5
20080509,07474199,33.7398,243.9733,6.62,2.3
20080509,10080594,34.2825,242.544,12.48,2.6
20080509,22380836,33.4458,243.5445,10.82,4.1
20080509,23172412,34.0183,242.8552,5.84,2.8
20080510,11520868,34.0203,242.8565,5.05,2.4
20080511,00064273,33.738,242.5168,7.58,2.4
20080514,07235688,33.1933,244.3902,2.63,2.5
20080516,15011228,34.0017,243.136,15.5,3.0
20080516,20250016,33.6983,242.6347,0.01,2.9
20080517,17251404,32.8105,244.4113,6.0,2.4
20080517,19171754,33.3492,243.6442,13.39,2.3
20080518,13032607,32.6977,243.9568,7.17,2.2
20080518,22393548,34.03,243.565,1.73,2.6
20080519,15221098,34.1753,242.4335,5.64,2.4
20080521,10204274,33.664,243.2368,14.78,2.4
20080521,11421972,34.2183,242.4367,8.02,2.5
20080526,19052388,33.6482,243.2742,15.61,2.3
20080527,09515914,33.1503,244.3388,0.67,2.5
20080527,11525760,33.1635,244.351,1.76,2.6
20080527,11545744,33.1705,244.375,7.01,2.7
20080528,20504924,34.077,242.7038,15.9,2.7
20080531,10040972,33.4775,242.8895,12.69,2.3
20080602,04375260,33.0352,244.442,14.1,2.9
20080602,04394801,33.0385,244.435,14.15,2.6
20080602,04424805,33.0333,244.432,12.98,2.8
20080602,04511239,33.036,244.4375,14.29,2.7
20080602,04563928,33.028,244.4327,12.99,2.2
20080602,04564762,33.041,244.3838,13.07,2.2
20080602,04592834,33.0292,244.4402,14.01,3.0
20080602,05081371,33.04,244.4355,15.0,2.3
20080602,05131614,34.0218,242.8567,5.86,3.1
20080602,05134826,33.0218,244.4507,6.0,3.0
20080602,05285756,34.0197,242.8548,6.54,2.6
20080602,05295084,33.0277,244.426,6.98,3.0
20080602,05300245,33.0592,244.435,6.55,2.5
20080602,07064744,33.0277,244.4365,14.71,2.3
20080602,09215059,34.02,242.8568,4.75,2.5
20080602,09244331,33.0303,244.4463,14.9,2.5
20080602,09572996,33.037,244.4303,14.53,2.6
20080602,23523726,32.7685,244.425,14.66,2.3
20080603,00404185,32.7685,244.4192,15.58,2.5
20080603,01081660,33.0388,244.4375,13.88,3.0
20080603,06523257,33.041,244.4413,14.88,2.3
20080603,12391968,32.7603,244.428,14.93,2.6
20080603,12421591,32.7622,244.4282,14.98,2.3
20080603,12500463,32.7652,244.4278,14.95,2.6
20080603,12514552,32.7743,244.4183,14.16,2.9
20080603,15164044,33.0407,244.4387,14.87,2.7
20080603,15334704,32.776,244.4198,14.26,2.8
20080603,15413229,32.77,244.424,15.0,2.8
20080603,15562720,32.7613,244.4285,14.96,2.2
20080603,23063266,33.6803,243.2772,16.95,2.4
20080603,23063318,33.6672,243.268,16.25,3.0
20080605,00090155,32.7713,244.4178,15.39,2.4
20080606,15272132,33.0342,244.438,13.7,2.3
20080609,14140764,33.742,243.8958,9.51,2.3
20080610,00502293,34.1788,242.4347,4.78,2.4
20080613,22363050,33.1412,244.0487,13.11,2.8
20080614,16260392,32.6497,243.9532,10.46,2.5
20080614,16560694,32.6488,243.9523,9.43,2.8
20080616,07365746,33.1735,244.3502,1.81,2.7
20080616,19404468,34.0405,243.5662,9.11,2.4
20080616,19410148,32.6455,243.9543,8.22,2.6
20080622,09454667,34.0153,243.6823,10.46,2.2
20080623,13491119,34.0462,242.7523,14.79,2.6
20080623,14050697,34.0452,242.7497,15.11,2.5
20080623,14145760,34.0477,242.7535,14.42,4.0
20080624,15061059,33.4983,243.4807,13.09,3.0
20080627,17441996,32.6918,244.1935,13.04,3.1
20080627,19041424,32.705,244.1862,6.0,3.0
20080627,19461596,32.6818,244.1942,12.89,2.8
20080627,19535432,32.6958,244.1942,11.69,2.8
20080627,21110126,32.705,244.1907,6.0,2.8
20080707,00194793,33.3193,243.1385,13.43,2.5
20080711,13283107,32.6665,243.956,9.91,3.0
20080712,13435315,34.1563,243.5657,11.3,2.3
20080715,16095454,33.9885,243.0245,18.15,2.6
20080715,16095455,33.9843,243.0208,19.96,2.6
20080715,16314804,33.4232,243.512,13.5,2.4
20080720,02214925,33.6948,243.2607,17.74,2.2
20080721,20210056,34.1152,243.0947,5.61,3.0
20080721,22472472,33.3932,242.9802,12.18,2.8
20080722,13362378,32.7815,243.8825,10.04,2.6
20080724,02421219,34.0182,242.8,4.32,2.6
20080729,02371158,32.7613,244.4677,6.0,2.5
20080729,10400634,33.9765,243.1725,13.48,2.2
20080729,18421572,33.953,242.2387,14.7,5.4
20080729,18512978,33.93,242.2165,18.48,2.4
20080729,18514636,33.9462,242.2083,16.82,2.8
20080729,18515228,33.9517,242.1982,16.23,3.8
20080729,19030082,33.9247,242.1967,15.13,2.3
20080729,19122868,33.9465,242.2695,14.34,2.2
20080729,19152592,33.9405,242.1928,18.66,2.4
20080729,19184406,33.941,242.2723,14.55,2.3
20080729,19192292,33.9673,242.2542,15.46,2.4
20080729,20404150,33.9423,242.2572,15.32,3.6
20080729,21002664,33.9467,242.2658,15.33,2.2
20080729,21304020,33.9113,242.2063,16.98,2.2
20080729,21393912,33.9357,242.2022,18.3,2.3
20080730,01462505,33.9575,242.191,15.64,2.2
20080730,05193921,33.9638,242.261,14.79,2.7
20080731,04370978,33.9128,242.2102,17.26,3.0
20080731,19565694,33.9585,242.2552,15.24,2.3
20080801,02341681,33.9298,242.1872,18.39,2.5
20080801,21440656,32.6087,244.2217,7.67,2.6
20080802,18460732,33.947,242.2777,15.08,2.7
20080803,01270451,34.0108,242.7853,10.41,3.0
20080805,23372522,33.96,242.1857,17.49,2.4
20080815,03423739,33.9567,242.2402,15.19,2.4
20080815,03513689,33.9567,242.2355,15.24,2.6
20080816,04315077,32.8327,243.8165,11.63,2.9
20080817,18015744,33.481,243.5383,12.84,2.3
20080817,19242264,32.6578,243.9598,10.22,2.4
20080819,01551361,33.6812,243.1925,15.05,3.2
20080819,01552836,33.6895,243.1983,15.38,2.7
20080820,20165012,33.6232,243.1945,13.15,2.4
20080821,02325241,34.036,243.2737,12.46,2.2
20080821,07352156,34.117,242.1793,12.93,2.2
20080826,01530420,33.1638,244.0428,6.0,3.0
20080827,21305290,33.6857,243.1948,14.73,2.9
20080828,02225054,32.672,244.0733,4.54,2.9
20080829,05592450,32.6733,244.0778,6.0,2.3
20080829,18214250,34.2692,243.04,9.65,2.4
20080830,11234737,34.2907,243.5487,5.57,2.3
20080830,19313180,33.9077,242.3333,9.66,2.2
20080830,23441920,33.8557,242.2087,8.3,2.3
20080901,04453423,33.062,243.9993,5.65,2.4
20080901,18394540,33.162,244.0422,6.7,3.0
20080903,18040176,33.1893,244.4327,2.53,3.2
20080904,08420374,34.0052,242.8813,13.1,3.3
20080904,11033902,33.064,243.9987,12.28,2.6
20080904,15233417,33.5023,243.4843,13.59,2.3
20080906,17274168,34.3723,242.335,7.2,3.1
20080909,21061494,33.0527,244.0835,2.82,2.4
20080909,21201284,33.0517,244.0813,2.35,2.4
20080910,12463052,33.6807,243.2048,18.71,3.0
20080910,12465324,33.682,243.2067,18.81,2.6
20080911,14522663,32.6958,243.9338,10.06,3.4
20080913,00561128,32.6838,244.0693,3.65,2.2
20080914,16431498,34.1643,242.5243,12.06,2.8
20080915,04182121,34.0185,243.2063,13.29,2.8
20080916,19403012,33.2242,243.2717,5.63,2.3
20080919,02083200,34.0298,243.6813,9.33,2.3
20080919,06220955,33.9627,242.2107,15.58,3.1
20080919,15424239,32.6708,244.0835,6.0,2.4
20080919,21382888,32.922,244.1223,7.0,3.1
20080920,01232215,32.683,244.0728,5.63,2.4
20080921,06004754,32.685,244.072,4.21,2.2
20080922,21453692,34.377,242.3568,10.96,2.4
20080924,02374745,33.369,243.6123,6.98,2.9
20080925,03043435,33.294,243.8613,10.19,2.3
20080926,10335911,32.6762,244.0698,5.43,2.5
20080928,04440024,32.6792,244.0757,5.97,2.7
20080928,12121381,33.7717,243.0925,13.15,2.8
20080929,03564364,32.6742,244.072,5.11,2.2
20080929,07501317,33.1868,244.3897,1.94,2.7
20080929,11375199,33.1805,244.3917,3.1,3.0
20080929,18375536,33.2767,243.2093,9.06,2.5
20080930,01345950,32.9607,244.1257,8.25,2.6
20080930,12300454,32.69,243.927,10.97,2.6
20081002,09414927,34.0838,243.0322,12.48,4.1
20081002,15464999,33.2423,243.8622,5.73,2.6
20081007,09323960,33.2988,243.7495,12.77,2.3
20081010,07292732,33.9933,243.0368,6.86,2.3
20081010,18040096,32.6653,244.0612,7.57,3.3
20081011,01021297,32.6793,244.0693,5.7,2.2
20081011,03030595,32.675,244.0733,3.16,2.9
20081011,19215004,33.6737,243.289,16.53,2.6
20081011,19335932,33.6713,243.2863,16.47,3.0
20081012,01400364,33.1587,244.0122,8.86,2.2
20081012,12123853,33.283,243.7588,5.56,2.8
20081012,16112750,32.6593,244.0823,6.8,2.2
20081013,05394822,33.9323,243.2578,13.91,3.4
20081013,05400861,33.9225,243.2765,16.82,2.8
20081013,19014248,33.2417,243.6617,13.74,2.4
20081015,17335952,32.6717,244.0793,5.43,2.2
20081019,20073212,33.2388,244.4065,3.68,2.2
20081023,01200214,33.0852,244.2175,8.88,2.2
20081025,09452853,33.6227,243.2627,16.84,2.4
20081029,02171562,33.0603,244.09,2.34,2.3
20081029,02175189,33.061,244.093,2.63,2.3
20081029,02175518,33.0607,244.0978,2.67,2.7
20081029,02282214,33.0668,244.0902,1.53,2.6
20081029,04372435,33.9447,242.7855,14.23,2.2
20081029,23574492,33.8663,242.168,12.06,2.6
20081030,02225531,33.0607,244.0887,1.42,2.2
20081030,03011179,33.0655,244.0913,1.91,2.9
20081030,03263588,33.0648,244.087,1.95,2.9
20081030,03273808,33.0663,244.0878,0.72,3.2
20081030,03445346,33.0608,244.095,3.16,2.5
20081030,03481251,33.0628,244.0907,1.43,3.0
20081030,03492196,33.0653,244.087,1.28,2.8
20081030,03494537,33.057,244.0953,1.26,3.6
20081030,03524321,33.0533,244.0968,2.01,3.5
20081030,03541641,33.046,244.0942,6.16,2.4
20081030,03571028,33.0578,244.0962,2.91,2.4
20081030,04014643,33.0707,244.0832,1.92,2.7
20081030,04025871,33.0647,244.0927,2.83,2.6
20081030,04041724,33.0608,244.081,0.91,2.5
20081030,04092062,33.0683,244.0903,2.54,2.8
20081030,04145163,33.0545,244.0997,1.78,2.9
20081030,04163076,33.071,244.0847,2.7,2.5
20081030,04170706,33.0535,244.0937,1.29,2.6
20081030,04174894,33.0532,244.0975,0.93,2.8
20081030,04185825,33.0568,244.0968,3.22,2.3
20081030,04325102,33.0557,244.0967,2.17,2.3
20081030,04343712,33.0627,244.086,0.75,2.3
20081030,05090132,33.0485,244.0982,1.93,2.6
20081030,05182298,33.0617,244.094,1.06,2.2
20081030,05215637,33.058,244.094,1.92,2.8
20081030,05570897,33.0653,244.0848,1.81,2.5
20081030,06222117,33.0588,244.0962,3.27,2.2
20081030,06493837,33.0642,244.09,2.12,3.3
20081030,07072303,33.066,244.0845,1.42,2.4
20081030,17093952,33.5392,243.4223,13.0,3.2
20081030,23232728,34.2648,242.4445,6.45,2.5
20081031,03500783,33.2768,243.215,11.52,2.2
20081101,05121994,32.6538,243.9575,8.49,2.8
20081103,03155166,33.0558,243.9603,10.71,2.7
20081108,11315404,33.4977,243.4865,13.49,3.0
20081108,19050340,34.1313,242.5293,5.85,2.9
20081110,02504754,34.0095,242.8013,10.66,2.3
20081111,21303512,34.0038,243.214,14.6,2.3
20081112,09384076,33.2712,244.3188,3.32,2.4
20081113,07064289,34.0203,242.8833,3.87,2.8
20081114,03534411,33.0703,244.0667,1.57,2.3
20081117,12354226,33.4997,243.1387,12.19,4.1
20081117,17413712,33.4962,243.1363,11.53,3.8
20081118,08144367,33.1972,243.988,8.15,2.4
